QuickFLow Export
Version: 1.0.0
Project name: 3373b
Date: sex fev 5 12:12:19 2016

--------------------------------------------------------------------------------
Network: A1
Bars: 3373
Lines: 3372
--------------------------------------------------------------------------------

             Id  Voltage_A_Abs Voltage_A_Phas  Voltage_B_Abs Voltage_B_Phas  Voltage_C_Abs Voltage_C_Phas  Current_A_Abs Current_A_Phas  Current_B_Abs Current_B_Phas  Current_C_Abs Current_C_Phas    Load_A_Real    Load_A_Imag    Load_B_Real    Load_B_Imag    Load_C_Real    Load_C_Imag   Shunt_A_Real   Shunt_A_Imag   Shunt_B_Real   Shunt_B_Imag   Shunt_C_Real   Shunt_C_Imag              
              0    7967.433715              0    7967.433715           -120    7967.433715            120    71.34620908   -170.4693567    60.99019536   -172.8897524    56.87479704   -174.3252943   -560600.0362   -94120.51979   -482198.4063    -60148.5695   -450925.4509   -44807.29933              0              0              0              0              0              0              
              1    7967.433715              0    7967.433715           -120    7967.433715            120              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
              2    7967.433715              0    7967.433715           -120    7967.433715            120              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
              3    7967.204898-0.002211231621    7967.760804   -120.0002745    7967.312532    120.0020194              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
              4    7967.204898-0.002211231621    7967.760804   -120.0002745    7967.312532    120.0020194              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
              5    7966.341807-0.009546069341    7966.533633   -120.0080177    7966.616685    119.9926477              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
              6    7966.341807-0.009546069341    7966.533633   -120.0080177    7966.616685    119.9926477              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
              7    7966.341807-0.009546069341    7966.533633   -120.0080177    7966.616685    119.9926477              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
              8    7964.777205 -0.02458680886    7968.706673   -120.0098847    7965.808554    120.0062232              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
              9    7964.777205 -0.02458680886    7968.706673   -120.0098847    7965.808554    120.0062232              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             10    7963.467476 -0.03717725818    7970.525435    -120.011451    7965.133023    120.0175896              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             11    7962.104033 -0.05027884764    7972.417994    -120.013087    7964.431191    120.0294224              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             12    7960.746417 -0.06334590065    7974.304359   -120.0147102    7963.731252    120.0412155              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             13    7959.405427 -0.07622231939    7976.164271   -120.0163295    7963.043682    120.0528543              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             14    7958.151318 -0.08828325004    7977.905334   -120.0178389    7962.399698    120.0637485              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             15    7953.774406  -0.1138931555    7956.190774   -120.0947338    7956.978832    119.9115535              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             16    7953.774406  -0.1138931555    7956.190774   -120.0947338    7956.978832    119.9115535              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             17    7953.774406  -0.1138931555    7956.190774   -120.0947338    7956.978832    119.9115535              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             18     7953.03379  -0.1187810612    7956.993403   -120.0965591    7956.808409    119.9171058              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             19    7950.806886  -0.1334893615    7959.407543   -120.1020448    7956.296023    119.9338059              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
