QuickFLow Export
Version: 1.0.0
Project name: 794b
Date: sex fev 5 12:10:42 2016

--------------------------------------------------------------------------------
Network: A1
Bars: 793
Lines: 792
--------------------------------------------------------------------------------

             Id  Voltage_A_Abs Voltage_A_Phas  Voltage_B_Abs Voltage_B_Phas  Voltage_C_Abs Voltage_C_Phas  Current_A_Abs Current_A_Phas  Current_B_Abs Current_B_Phas  Current_C_Abs Current_C_Phas    Load_A_Real    Load_A_Imag    Load_B_Real    Load_B_Imag    Load_C_Real    Load_C_Imag   Shunt_A_Real   Shunt_A_Imag   Shunt_B_Real   Shunt_B_Imag   Shunt_C_Real   Shunt_C_Imag              
              0    7967.433715              0    7967.433715           -120    7967.433715            120    242.0411566   -157.9083744    129.7313181   -161.1951696     93.4630181   -164.6969024   -1786867.263   -725267.3422   -978452.8963   -333184.5891   -718257.0904   -196534.6424              0              0              0              0              0              0              
              1    7967.433715              0    7967.433715           -120    7967.433715            120              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
              2    7967.433715              0    7967.433715           -120    7967.433715            120              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
              3    7967.069947-0.009420614131     7968.15783   -119.9986558    7967.065634     120.002696              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
              4    7967.069947-0.009420614131     7968.15783   -119.9986558    7967.065634     120.002696              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
              5    7963.635579 -0.04337762717    7965.510037   -120.0240232    7966.167349    119.9830841              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
              6    7963.635579 -0.04337762717    7965.510037   -120.0240232    7966.167349    119.9830841              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
              7    7963.635579 -0.04337762717    7965.510037   -120.0240232    7966.167349    119.9830841              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
              8     7960.34512 -0.08099922769    7963.843263    -120.044862    7965.070097    119.9684094              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
              9     7960.34512 -0.08099922769    7963.843263    -120.044862    7965.070097    119.9684094              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             10    7943.972328   -0.267676755    7955.542303   -120.1484205    7959.603123    119.8954461              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
