QuickFLow Export
Version: 1.0.0
Project name: 794b
Date: sex fev 5 12:10:17 2016

--------------------------------------------------------------------------------
Network: A1
Bars: 793
Lines: 792
--------------------------------------------------------------------------------

             Id  Voltage_A_Abs Voltage_A_Phas  Voltage_B_Abs Voltage_B_Phas  Voltage_C_Abs Voltage_C_Phas  Current_A_Abs Current_A_Phas  Current_B_Abs Current_B_Phas  Current_C_Abs Current_C_Phas    Load_A_Real    Load_A_Imag    Load_B_Real    Load_B_Imag    Load_C_Real    Load_C_Imag   Shunt_A_Real   Shunt_A_Imag   Shunt_B_Real   Shunt_B_Imag   Shunt_C_Real   Shunt_C_Imag              
              0    7967.433715              0    7967.433715           -120    7967.433715            120    242.0411701    157.9083736    129.7313137    41.19516896    93.46301811    -75.3030962   -1786867.353   -725267.4072   -978452.8597   -333184.5881   -718257.0951   -196534.6254              0              0              0              0              0              0              
              1    7967.433715              0    7967.433715           -120    7967.433715            120              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
              2    7967.433715              0    7967.433715           -120    7967.433715            120              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
              3    7966.605824-0.007727955369    7967.023709    -120.004318    7967.165301    119.9967652              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
              4    7966.605824-0.007727955369    7967.023709    -120.004318    7967.165301    119.9967652              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
              5    7964.007584  -0.0187793142     7969.22892   -120.0103627    7965.703195    120.0131758              0            180              0              0              0           -180              0              0              0              0              0              0              0              0              0              0              0              0              
              6    7964.007584  -0.0187793142     7969.22892   -120.0103627    7965.703195    120.0131758              0            180              0              0              0           -180              0              0              0              0              0              0              0              0              0              0              0              0              
              7    7964.007584  -0.0187793142     7969.22892   -120.0103627    7965.703195    120.0131758              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
              8    7960.961222 -0.03883544972    7969.735376   -120.0199475    7964.971007    120.0182524              0            180              0              0              0           -180              0              0              0              0              0              0              0              0              0              0              0              0              
              9    7960.961222 -0.03883544972    7969.735376   -120.0199475    7964.971007    120.0182524              0            180              0              0              0           -180              0              0              0              0              0              0              0              0              0              0              0              0              
             10    7945.778883  -0.1388170379    7972.233092   -120.0675795    7961.357346    120.0433871              0            180              0              0              0           -180              0              0              0              0              0              0              0              0              0              0              0              0              
             11    7945.778883  -0.1388170379    7972.233092   -120.0675795    7961.357346    120.0433871              0            180              0              0              0           -180              0              0              0              0              0              0              0              0              0              0              0              0              
             12    7934.128597  -0.2472806254    7966.475544   -120.1276832    7957.590392     119.998467              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             13    7934.128597  -0.2472806254    7966.475544   -120.1276832    7957.590392     119.998467              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             14    7926.103507   -0.262493086    7976.419839   -120.1261214    7956.413893    120.0807152              0            180              0              0              0           -180              0              0              0              0              0              0              0              0              0              0              0              0              
             15    7926.103507   -0.262493086    7976.419839   -120.1261214    7956.413893    120.0807152     3.86587799    156.6635833    2.096196227     36.7999616   0.8829953824   -82.99317351       28190.04       12008.91       15382.53        6552.93        6463.44        2753.41              0              0              0              0              0              0              
             16    7926.103507   -0.262493086    7976.419839   -120.1261214    7956.413893    120.0807152              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             17    7882.531947  -0.6741096898    7954.864399   -120.3529339    7942.176527    119.9101498              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             18    7882.531947  -0.6741096898    7954.864399   -120.3529339    7942.176527    119.9101498              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             19    7863.756802   -0.646935273    7993.064385   -120.3072903    7939.445391    120.2091755              0            180              0              0              0           -180              0              0              0              0              0              0              0              0              0              0              0              0              
             20    7863.756802   -0.646935273    7993.064385   -120.3072903    7939.445391    120.2091755              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             21    7847.443147  -0.7495591754     7997.47314   -120.3543289    7934.887716    120.2425745              0            180              0              0              0           -180              0              0              0              0              0              0              0              0              0              0              0              0              
             22    7841.374296  -0.7879267008    7999.113279   -120.3718561    7933.178382    120.2550925              0            180              0              0              0           -180              0              0              0              0              0              0              0              0              0              0              0              0              
             23    7841.374296  -0.7879267008    7999.113279   -120.3718561    7933.178382    120.2550925    3.005411462    156.1381447    1.713674998     36.5542258    1.162060897   -82.81881725       21681.23        9236.17       12611.25        5372.37        8481.33        3613.03              0              0              0              0              0              0              
             24    7841.374296  -0.7879267008    7999.113279   -120.3718561    7933.178382    120.2550925              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             25    7835.525168  -0.8444609932    7996.230757   -120.4024394    7931.229304    120.2317429              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             26    7835.525168  -0.8444609932    7996.230757   -120.4024394    7931.229304    120.2317429              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             27    7826.970815  -0.9273926407    7992.012246    -120.447261    7928.376361    120.1975319              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             28    7826.970815  -0.9273926407    7992.012246    -120.447261    7928.376361    120.1975319              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             29    7815.319705  -0.9535391856    8006.185834   -120.4471142    7925.896331    120.3084704              0            180              0              0              0           -180              0              0              0              0              0              0              0              0              0              0              0              0              
             30    7815.319705  -0.9535391856    8006.185834   -120.4471142    7925.896331    120.3084704              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             31    7815.319705  -0.9535391856    8006.185834   -120.4471142    7925.896331    120.3084704              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             32    7774.334714   -1.356941203    7985.917378   -120.6636334    7912.138795    120.1432193              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             33    7774.334714   -1.356941203    7985.917378   -120.6636334    7912.138795    120.1432193              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             34    7772.281081   -1.231070355    8017.968974    -120.571881    7913.856839    120.3970666              0            180              0              0              0           -180              0              0              0              0              0              0              0              0              0              0              0              0              
             35    7772.281081   -1.231070355    8017.968974    -120.571881    7913.856839    120.3970666              0            180              0              0              0           -180              0              0              0              0              0              0              0              0              0              0              0              0              
             36    7763.213956   -1.322315227    8013.481534   -120.6204874    7910.797511    120.3599404              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             37    7763.213956   -1.322315227    8013.481534   -120.6204874    7910.797511    120.3599404              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             38     7761.32886   -1.308543632    8019.919536   -120.6061205    7911.148489    120.4156587              0            180              0              0              0           -180              0              0              0              0              0              0              0              0              0              0              0              0              
             39     7761.32886   -1.308543632    8019.919536   -120.6061205    7911.148489    120.4156587              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             40     7747.23318   -1.400469622    8023.848614   -120.6470501    7907.243889    120.4453551              0            180              0              0              0           -180              0              0              0              0              0              0              0              0              0              0              0              0              
             41     7747.23318   -1.400469622    8023.848614   -120.6470501    7907.243889    120.4453551              0            180              0              0              0           -180              0              0              0              0              0              0              0              0              0              0              0              0              
             42    7747.049775    -1.40094458    8023.688015   -120.6474516    7907.178055     120.445188              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             43    7747.042551   -1.400581693    8023.739032   -120.6473017    7907.212105     120.445574    1.500143425    155.5254883    1.313600434    36.27880645   0.5384793762   -82.62837812       10691.94        4554.75        9696.79        4130.81        3917.24        1668.74              0              0              0              0              0              0              
             44     7747.23318   -1.400469622    8023.848614   -120.6470501    7907.243889    120.4453551              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             45    7740.994951    -1.46314083    8020.783396   -120.6800959    7905.154046     120.420101              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             46    7740.994951    -1.46314083    8020.783396   -120.6800959    7905.154046     120.420101              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
